256 256
3.6 -6.0 -7.35693
3.647 -6.0 -7.3604
3.694 -6.0 -7.35421
3.741 -6.0 -7.34316
3.788 -6.0 -7.33427
3.835 -6.0 -7.33512
3.882 -6.0 -7.35147
3.929 -6.0 -7.38124
3.976 -6.0 -7.41409
4.024 -6.0 -7.43452
4.071 -6.0 -7.43655
4.118 -6.0 -7.42387
4.165 -6.0 -7.40519
4.212 -6.0 -7.3875
4.259 -6.0 -7.37612
4.306 -6.0 -7.37717
4.353 -6.0 -7.39362
4.4 -6.0 -7.42383
4.447 -6.0 -7.45981
4.494 -6.0 -7.48922
4.541 -6.0 -7.50389
4.588 -6.0 -7.50695
4.635 -6.0 -7.50867
4.682 -6.0 -7.51411
4.729 -6.0 -7.52476
4.776 -6.0 -7.53577
4.824 -6.0 -7.54411
4.871 -6.0 -7.54923
4.918 -6.0 -7.55255
4.965 -6.0 -7.55429
5.012 -6.0 -7.54905
5.059 -6.0 -7.53496
5.106 -6.0 -7.51142
5.153 -6.0 -7.48422
5.2 -6.0 -7.46165
5.247 -6.0 -7.45115
5.294 -6.0 -7.45477
5.341 -6.0 -7.47105
5.388 -6.0 -7.49453
5.435 -6.0 -7.51668
5.482 -6.0 -7.52822
5.529 -6.0 -7.52184
5.576 -6.0 -7.49562
5.624 -6.0 -7.45621
5.671 -6.0 -7.41225
5.718 -6.0 -7.37071
5.765 -6.0 -7.33999
5.812 -6.0 -7.32619
5.859 -6.0 -7.33369
5.906 -6.0 -7.36392
5.953 -6.0 -7.41349
6.0 -6.0 -7.47171
-6.0 -5.953 -7.55025
-5.953 -5.953 -7.54525
-5.906 -5.953 -7.55025
-5.859 -5.953 -7.56285
-5.812 -5.953 -7.57758
-5.765 -5.953 -7.58943
-5.718 -5.953 -7.59645
-5.671 -5.953 -7.5993
-5.624 -5.953 -7.60005
-5.576 -5.953 -7.59839
-5.529 -5.953 -7.59574
-5.482 -5.953 -7.59149
-5.435 -5.953 -7.58242
-5.388 -5.953 -7.5656
-5.341 -5.953 -7.53823
-5.294 -5.953 -7.5017
-5.247 -5.953 -7.46176
-5.2 -5.953 -7.42657
-5.153 -5.953 -7.40093
-5.106 -5.953 -7.38403
-5.059 -5.953 -7.37068
-5.012 -5.953 -7.35674
-4.965 -5.953 -7.34541
-4.918 -5.953 -7.34558
-4.871 -5.953 -7.36299
-4.824 -5.953 -7.39339
-4.776 -5.953 -7.42546
-4.729 -5.953 -7.44363
-4.682 -5.953 -7.4447
-4.635 -5.953 -7.43231
-4.588 -5.953 -7.4131
-4.541 -5.953 -7.39283
-4.494 -5.953 -7.38055
-4.447 -5.953 -7.38141
-4.4 -5.953 -7.39254
-4.353 -5.953 -7.40345
-4.306 -5.953 -7.40356
-4.259 -5.953 -7.39278
-4.212 -5.953 -7.38097
-4.165 -5.953 -7.37637
-4.118 -5.953 -7.37828
-4.071 -5.953 -7.37904
-4.024 -5.953 -7.3716
-3.976 -5.953 -7.35556
-3.929 -5.953 -7.33572
-3.882 -5.953 -7.31737
-3.835 -5.953 -7.30444
-3.788 -5.953 -7.29829
-3.741 -5.953 -7.30041
-3.694 -5.953 -7.30982
-3.647 -5.953 -7.32102
-3.6 -5.953 -7.32752
-3.553 -5.953 -7.32669
-3.506 -5.953 -7.32131
-3.459 -5.953 -7.31688
-3.412 -5.953 -7.31359
-3.365 -5.953 -7.30628
-3.318 -5.953 -7.29028
-3.271 -5.953 -7.26978
-3.224 -5.953 -7.25097
-3.176 -5.953 -7.23755
-3.129 -5.953 -7.22772
-3.082 -5.953 -7.21813
-3.035 -5.953 -7.2068
-2.988 -5.953 -7.19298
-2.941 -5.953 -7.17733
-2.894 -5.953 -7.16012
-2.847 -5.953 -7.14249
-2.8 -5.953 -7.12494
-2.753 -5.953 -7.10919
-2.706 -5.953 -7.0958
-2.659 -5.953 -7.08399
-2.612 -5.953 -7.07151
-2.565 -5.953 -7.05569
-2.518 -5.953 -7.0348
-2.471 -5.953 -7.01248
-2.424 -5.953 -6.99096
-2.376 -5.953 -6.97252
-2.329 -5.953 -6.95861
-2.282 -5.953 -6.94821
-2.235 -5.953 -6.94086
-2.188 -5.953 -6.93332
-2.141 -5.953 -6.92321
-2.094 -5.953 -6.91019
-2.047 -5.953 -6.89847
-2.0 -5.953 -6.89209
-1.953 -5.953 -6.89291
-1.906 -5.953 -6.89882
-1.859 -5.953 -6.90337
-1.812 -5.953 -6.89926
-1.765 -5.953 -6.88281
-1.718 -5.953 -6.85649
-1.671 -5.953 -6.8292
-1.624 -5.953 -6.8088
-1.576 -5.953 -6.79907
-1.529 -5.953 -6.79926
-1.482 -5.953 -6.80572
-1.435 -5.953 -6.81657
-1.388 -5.953 -6.83179
-1.341 -5.953 -6.85305
-1.294 -5.953 -6.88094
-1.247 -5.953 -6.90886
-1.2 -5.953 -6.92949
-1.153 -5.953 -6.93979
-1.106 -5.953 -6.94514
-1.059 -5.953 -6.95475
-1.012 -5.953 -6.9728
-0.965 -5.953 -6.99611
-0.918 -5.953 -7.01725
