256 256
-6.0 -6.0 -7.59731
-5.953 -6.0 -7.59357
-5.906 -6.0 -7.58671
-5.859 -6.0 -7.57307
-5.812 -6.0 -7.54987
-5.765 -6.0 -7.51678
-5.718 -6.0 -7.47903
-5.671 -6.0 -7.44226
-5.624 -6.0 -7.40956
-5.576 -6.0 -7.38159
-5.529 -6.0 -7.36025
-5.482 -6.0 -7.35003
-5.435 -6.0 -7.35566
-5.388 -6.0 -7.37795
-5.341 -6.0 -7.41231
-5.294 -6.0 -7.44935
-5.247 -6.0 -7.4818
-5.2 -6.0 -7.50624
-5.153 -6.0 -7.51856
-5.106 -6.0 -7.51782
-5.059 -6.0 -7.5043
-5.012 -6.0 -7.48688
-4.965 -6.0 -7.47338
-4.918 -6.0 -7.46711
-4.871 -6.0 -7.46572
-4.824 -6.0 -7.46687
-4.776 -6.0 -7.46825
-4.729 -6.0 -7.47001
-4.682 -6.0 -7.47385
-4.635 -6.0 -7.4804
-4.588 -6.0 -7.49098
-4.541 -6.0 -7.50506
-4.494 -6.0 -7.51985
-4.447 -6.0 -7.52945
-4.4 -6.0 -7.5258
-4.353 -6.0 -7.50661
-4.306 -6.0 -7.47267
-4.259 -6.0 -7.42715
-4.212 -6.0 -7.37383
-4.165 -6.0 -7.31692
-4.118 -6.0 -7.26533
-4.071 -6.0 -7.22362
-4.024 -6.0 -7.19258
-3.976 -6.0 -7.1691
-3.929 -6.0 -7.14932
-3.882 -6.0 -7.13504
-3.835 -6.0 -7.13177
-3.788 -6.0 -7.14275
-3.741 -6.0 -7.16688
-3.694 -6.0 -7.19694
-3.647 -6.0 -7.22746
-3.6 -6.0 -7.25732
-3.553 -6.0 -7.28724
-3.506 -6.0 -7.31906
-3.459 -6.0 -7.34276
-3.412 -6.0 -7.35895
-3.365 -6.0 -7.36895
-3.318 -6.0 -7.37735
-3.271 -6.0 -7.38817
-3.224 -6.0 -7.39826
-3.176 -6.0 -7.4069
-3.129 -6.0 -7.41451
-3.082 -6.0 -7.42288
-3.035 -6.0 -7.43651
-2.988 -6.0 -7.45637
-2.941 -6.0 -7.47886
-2.894 -6.0 -7.4984
-2.847 -6.0 -7.51086
-2.8 -6.0 -7.51743
-2.753 -6.0 -7.5217
-2.706 -6.0 -7.52521
-2.659 -6.0 -7.53147
-2.612 -6.0 -7.53541
-2.565 -6.0 -7.53076
-2.518 -6.0 -7.51178
-2.471 -6.0 -7.47731
-2.424 -6.0 -7.43482
-2.376 -6.0 -7.39202
-2.329 -6.0 -7.35299
-2.282 -6.0 -7.31927
-2.235 -6.0 -7.28942
-2.188 -6.0 -7.26175
-2.141 -6.0 -7.2367
-2.094 -6.0 -7.21573
-2.047 -6.0 -7.19848
-2.0 -6.0 -7.18388
-1.953 -6.0 -7.16804
-1.906 -6.0 -7.14882
-1.859 -6.0 -7.12626
-1.812 -6.0 -7.10403
-1.765 -6.0 -7.0844
-1.718 -6.0 -7.06831
-1.671 -6.0 -7.05345
-1.624 -6.0 -7.03775
-1.576 -6.0 -7.02181
-1.529 -6.0 -7.00983
-1.482 -6.0 -7.00621
-1.435 -6.0 -7.01532
-1.388 -6.0 -7.03972
-1.341 -6.0 -7.07866
-1.294 -6.0 -7.12949
-1.247 -6.0 -7.18598
-1.2 -6.0 -7.23954
-1.153 -6.0 -7.28226
-1.106 -6.0 -7.31292
-1.059 -6.0 -7.33405
-1.012 -6.0 -7.34719
-0.965 -6.0 -7.35249
-0.918 -6.0 -7.35225
-0.871 -6.0 -7.34385
-0.824 -6.0 -7.3258
-0.776 -6.0 -7.29457
-0.729 -6.0 -7.25492
-0.682 -6.0 -7.21815
-0.635 -6.0 -7.19691
-0.588 -6.0 -7.1953
-0.541 -6.0 -7.2097
-0.494 -6.0 -7.22848
-0.447 -6.0 -7.23849
-0.4 -6.0 -7.23577
-0.353 -6.0 -7.22508
-0.306 -6.0 -7.21077
-0.259 -6.0 -7.19732
-0.212 -6.0 -7.18623
-0.165 -6.0 -7.18149
-0.118 -6.0 -7.18743
-0.071 -6.0 -7.20451
-0.024 -6.0 -7.22777
0.024 -6.0 -7.24368
0.071 -6.0 -7.24469
0.118 -6.0 -7.22785
0.165 -6.0 -7.20109
0.212 -6.0 -7.17792
0.259 -6.0 -7.16217
0.306 -6.0 -7.15747
0.353 -6.0 -7.16008
0.4 -6.0 -7.16583
0.447 -6.0 -7.17237
0.494 -6.0 -7.18166
0.541 -6.0 -7.19795
0.588 -6.0 -7.22433
0.635 -6.0 -7.25956
0.682 -6.0 -7.29718
0.729 -6.0 -7.32296
0.776 -6.0 -7.32758
0.824 -6.0 -7.30794
0.871 -6.0 -7.27499
0.918 -6.0 -7.2412
0.965 -6.0 -7.21546
1.012 -6.0 -7.19829
1.059 -6.0 -7.18186
1.106 -6.0 -7.15944
1.153 -6.0 -7.1287
1.2 -6.0 -7.09512
1.247 -6.0 -7.06643
1.294 -6.0 -7.04871
1.341 -6.0 -7.04144
1.388 -6.0 -7.04344
1.435 -6.0 -7.04968
1.482 -6.0 -7.05822
1.529 -6.0 -7.06713
1.576 -6.0 -7.07858
1.624 -6.0 -7.09349
1.671 -6.0 -7.1103
1.718 -6.0 -7.1249
1.765 -6.0 -7.13044
1.812 -6.0 -7.12726
1.859 -6.0 -7.11928
1.906 -6.0 -7.11505
1.953 -6.0 -7.11432
2.0 -6.0 -7.11337
2.047 -6.0 -7.10602
2.094 -6.0 -7.0923
2.141 -6.0 -7.08011
2.188 -6.0 -7.07909
2.235 -6.0 -7.09387
2.282 -6.0 -7.12302
2.329 -6.0 -7.15821
2.376 -6.0 -7.19103
2.424 -6.0 -7.21769
2.471 -6.0 -7.24204
2.518 -6.0 -7.26554
2.565 -6.0 -7.28893
2.612 -6.0 -7.30829
2.659 -6.0 -7.32408
2.706 -6.0 -7.33857
2.753 -6.0 -7.35568
2.8 -6.0 -7.37812
2.847 -6.0 -7.41171
2.894 -6.0 -7.4533
2.941 -6.0 -7.495
2.988 -6.0 -7.52213
3.035 -6.0 -7.52703
3.082 -6.0 -7.51162
3.129 -6.0 -7.48388
3.176 -6.0 -7.45146
3.224 -6.0 -7.42117
3.271 -6.0 -7.3907
3.318 -6.0 -7.35338
3.365 -6.0 -7.30396
3.412 -6.0 -7.24627
3.459 -6.0 -7.19072
3.506 -6.0 -7.1493
3.553 -6.0 -7.12981
3.6 -6.0 -7.13185
3.647 -6.0 -7.14938
3.694 -6.0 -7.16874
3.741 -6.0 -7.17955
3.788 -6.0 -7.18078
3.835 -6.0 -7.18005
3.882 -6.0 -7.18757
3.929 -6.0 -7.20715
3.976 -6.0 -7.23723
4.024 -6.0 -7.27586
4.071 -6.0 -7.31831
4.118 -6.0 -7.36194
4.165 -6.0 -7.40101
4.212 -6.0 -7.4373
4.259 -6.0 -7.4712
4.306 -6.0 -7.50262
4.353 -6.0 -7.52974
4.4 -6.0 -7.54685
4.447 -6.0 -7.55296
4.494 -6.0 -7.54685
4.541 -6.0 -7.53001
4.588 -6.0 -7.50947
4.635 -6.0 -7.49323
4.682 -6.0 -7.48517
4.729 -6.0 -7.48519
4.776 -6.0 -7.48817
4.824 -6.0 -7.48923
4.871 -6.0 -7.48785
4.918 -6.0 -7.48908
4.965 -6.0 -7.49829
5.012 -6.0 -7.51591
5.059 -6.0 -7.53666
5.106 -6.0 -7.55276
5.153 -6.0 -7.55746
5.2 -6.0 -7.55033
5.247 -6.0 -7.53566
5.294 -6.0 -7.51891
5.341 -6.0 -7.50368
