256 256
-6.0 -6.0 -7.57398
-5.953 -6.0 -7.55348
-5.906 -6.0 -7.52907
-5.859 -6.0 -7.50309
-5.812 -6.0 -7.47786
-5.765 -6.0 -7.45502
-5.718 -6.0 -7.43717
-5.671 -6.0 -7.42627
-5.624 -6.0 -7.42325
-5.576 -6.0 -7.42693
-5.529 -6.0 -7.43554
-5.482 -6.0 -7.4453
-5.435 -6.0 -7.45343
-5.388 -6.0 -7.45921
-5.341 -6.0 -7.46492
-5.294 -6.0 -7.47434
-5.247 -6.0 -7.48778
-5.2 -6.0 -7.5008
-5.153 -6.0 -7.50636
-5.106 -6.0 -7.5047
-5.059 -6.0 -7.49988
-5.012 -6.0 -7.49928
-4.965 -6.0 -7.50542
-4.918 -6.0 -7.51963
-4.871 -6.0 -7.53596
-4.824 -6.0 -7.54562
-4.776 -6.0 -7.54486
-4.729 -6.0 -7.53494
-4.682 -6.0 -7.52061
-4.635 -6.0 -7.50732
-4.588 -6.0 -7.49629
-4.541 -6.0 -7.48701
-4.494 -6.0 -7.47705
-4.447 -6.0 -7.46575
-4.4 -6.0 -7.45445
-4.353 -6.0 -7.44708
-4.306 -6.0 -7.44625
-4.259 -6.0 -7.44881
-4.212 -6.0 -7.44857
-4.165 -6.0 -7.44033
-4.118 -6.0 -7.42752
-4.071 -6.0 -7.42158
-4.024 -6.0 -7.42983
-3.976 -6.0 -7.44966
-3.929 -6.0 -7.46495
-3.882 -6.0 -7.45927
-3.835 -6.0 -7.428
-3.788 -6.0 -7.38308
-3.741 -6.0 -7.34017
-3.694 -6.0 -7.30801
-3.647 -6.0 -7.28914
-3.6 -6.0 -7.28151
-3.553 -6.0 -7.28285
-3.506 -6.0 -7.29297
-3.459 -6.0 -7.31197
-3.412 -6.0 -7.3372
-3.365 -6.0 -7.36153
-3.318 -6.0 -7.37508
-3.271 -6.0 -7.36784
-3.224 -6.0 -7.34116
-3.176 -6.0 -7.30375
-3.129 -6.0 -7.26704
-3.082 -6.0 -7.23867
-3.035 -6.0 -7.21498
-2.988 -6.0 -7.18891
-2.941 -6.0 -7.15782
-2.894 -6.0 -7.12514
-2.847 -6.0 -7.09758
-2.8 -6.0 -7.07861
-2.753 -6.0 -7.06746
-2.706 -6.0 -7.05916
-2.659 -6.0 -7.05002
-2.612 -6.0 -7.03802
-2.565 -6.0 -7.02356
-2.518 -6.0 -7.01151
-2.471 -6.0 -7.00579
-2.424 -6.0 -7.00996
-2.376 -6.0 -7.02299
-2.329 -6.0 -7.03725
-2.282 -6.0 -7.04549
-2.235 -6.0 -7.04772
-2.188 -6.0 -7.05082
-2.141 -6.0 -7.06142
-2.094 -6.0 -7.08277
-2.047 -6.0 -7.1088
-2.0 -6.0 -7.1321
-1.953 -6.0 -7.14676
-1.906 -6.0 -7.1519
-1.859 -6.0 -7.14993
-1.812 -6.0 -7.14656
-1.765 -6.0 -7.14502
-1.718 -6.0 -7.14533
-1.671 -6.0 -7.14571
-1.624 -6.0 -7.14463
-1.576 -6.0 -7.14362
-1.529 -6.0 -7.14601
